Country,"Health Expenditure"
Aruba,NULL
Afghanistan,11.777193840000074
Angola,2.7915002779999956
Albania,NULL
Andorra,10.320552440000025
Argentina,9.12431478500002
Armenia,10.362704839999997
"Antigua and Barbuda",4.533531888999986
Algeria,6.374321878000031
Cuba,11.711326990000043
Germany,11.246834699999944
Qatar,2.607428655000005
"United States",17.061269279999962
Azerbaijan,6.6518291830000145
"Costa Rica",7.32879638700001
Denmark,10.108279439999965
Guinea,4.123086854999998
Guinea-Bissau,7.2358690200000275
Kazakhstan,3.1253617260000075
Bolivia,6.443160772000034
"Cayman Islands",NULL
Mauritania,4.403151571999986
Tanzania,3.6454513669999953
Zimbabwe,6.635916232999992
Belgium,10.33866927000005
Honduras,7.858425378999986
Jordan,8.119250834000011
Kenya,4.802543297000028
Mozambique,4.941198230000025
Portugal,8.969574422000036
Paraguay,6.654568762000033
Suriname,6.229769811000009
Zambia,4.470341279999987
Spain,8.873129636000007
"Puerto Rico",NULL
"South Sudan",9.760994464000026
Uzbekistan,6.414385139999993
Tunisia,7.232457398999997
Uruguay,9.296211600000046
Botswana,6.134568154999995
Japan,10.935933140000053
Togo,6.199512257999995
Belize,5.642822756999983
Cyprus,6.684569268999977
"United Kingdom",9.631694107999955
Mongolia,4.0023010219999895
"Northern Mariana Islands",NULL
Ukraine,6.9953203200000145
Colombia,7.226280868000003
Mali,3.7939850239999946
"French Polynesia",NULL
Barbados,6.779126823000005
Gabon,2.780745923999992
Malaysia,3.859398142000005
"British Virgin Islands",NULL
Belarus,5.925785749999985
Fiji,3.5007447000000145
Ireland,7.184383273000039
Italy,8.840259164999992
Rwanda,6.57159835099999
Chad,4.487301408999998
Bahrain,4.7481048849999805
Maldives,9.029976279000026
Mexico,5.51654137700001
Malta,9.340999274999996
Romania,5.157888308000031
Senegal,4.1340637949999826
Curacao,NULL
"Sao Tome and Principe",6.229991466
Monaco,1.772702299000002
Poland,6.541953981000005
"Isle of Man",NULL
Iceland,8.326291292999978
Lebanon,8.195544033999994
Panama,7.319491357000004
Singapore,4.440382868000002
"San Marino",7.3640830809999915
"South Africa",8.113118260999968
"Bosnia and Herzegovina",8.931667357999972
Grenada,4.7571174800000104
Israel,7.407464087000048
"Saudi Arabia",5.23025318999999
Bulgaria,8.095603435999974
Switzerland,12.346322089999939
Estonia,6.4293578270000395
Greece,8.041390031999985
Hungary,6.8799898029999635
Cambodia,5.918841809000012
Malawi,9.648231417000021
Georgia,7.60165899999997
India,3.5349596290000114
"New Zealand",9.170055389000023
"Czech Republic",7.231339066999961
Finland,9.206938743999991
Greenland,NULL
Liechtenstein,NULL
Lithuania,6.4575642350000155
Austria,10.396616909999953
"Sri Lanka",3.8114205000000214
Thailand,3.7460163240000157
Iraq,4.166630282999998
Oman,3.8490716369999776
Sudan,6.341807543999971
Slovenia,8.187017590000032
Kosovo,NULL
"United Arab Emirates",3.334282338999993
Indonesia,2.989054471000005
Liberia,8.15533772100002
"Turks and Caicos Islands",NULL
Chile,8.983509987999971
Jamaica,5.988416821000009
Morocco,5.245200171999998
Montenegro,NULL
Australia,9.20594781599997
Benin,3.7185821680000095
"Burkina Faso",6.91505968599997
Bangladesh,2.274248748999992
Canada,10.572769490000029
Comoros,7.38437399300003
Ethiopia,3.5025574270000166
"Papua New Guinea",2.469276078000006
Serbia,8.433958142999977
Seychelles,5.006735026999993
"Sint Maarten (Dutch part)",NULL
Djibouti,3.3165179190000016
"Equatorial Guinea",3.1070942060000113
Guatemala,5.813843756999995
Madagascar,5.502038076999977
"New Caledonia",NULL
Norway,10.446342079999951
Peru,4.995150491999994
"El Salvador",7.227560132999998
Burundi,7.517570256999989
Namibia,8.550956844999977
Uganda,6.18775598699997
Kuwait,5.291384830999975
Netherlands,10.100834819999971
Pakistan,2.898633666000015
Philippines,4.446407779999998
Somalia,NULL
Tajikistan,7.228814810999992
"Cote d'Ivoire",4.453034325999989
Eritrea,2.8700234369999897
Nigeria,3.755538538
Bhutan,3.186962380999987
Guam,NULL
Latvia,5.955661833000017
Mauritius,5.7187207040000025
Turkey,4.216302930999981
Bermuda,NULL
Brazil,9.467476606000044
"Central African Republic",5.821775644999985
Ecuador,8.257429302000018
Ghana,3.2623704520000163
Lesotho,8.763158320999993
Myanmar,4.659072310000025
Nicaragua,8.645465224999969
Sweden,11.018746350000015
Vietnam,5.532128364000013
Cameroon,4.670666902999989
Guyana,4.945509881000015
Libya,NULL
Niger,7.739962636999977
Nepal,5.5532950910000345
"Trinidad and Tobago",6.97873532800002
China,5.151193215999985
Dominica,5.876889079999979
"Dominican Republic",6.13639503700004
France,11.312892290000027
Gibraltar,NULL
Croatia,6.789133697999947
Haiti,8.035501092999995
Luxembourg,5.481074377999975
Moldova,7.01295062899999
"Sierra Leone",13.420927520000038
