Year Week,destination_country,Index YOY Change
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Taiwan,-0.003876190747357011
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",South Korea,0.0036117550789082215
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Maldives,0.0019455985958027333
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Japan,0.00798401714507356
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",India,0.007697535647835707
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",China,-0.0036539558521533344
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Thailand,0.002715169158600733
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Malaysia,0.016998970786288536
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Indonesia,-0.0007813925649592102
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Singapore,-0.006713550034282631
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",India,-0.12630573143730445
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Singapore,0.15658673644182963
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Taiwan,0.09587527949782926
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",South Korea,-0.0011866198226899022
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Maldives,-0.0943990830016555
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Indonesia,0.06533584302085053
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",China,-0.09900067799977219
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Malaysia,-0.10585640035604571
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Thailand,0.06734867329380007
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Japan,-0.04595147170504403
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Maldives,-0.2735726664158761
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Taiwan,0.09229612523186081
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",China,-0.33664585271479697
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Thailand,0.09518009068356405
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Japan,-0.020114730553719755
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Indonesia,0.1239626267206905
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Malaysia,-0.0340135182957603
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",India,-0.1376905169748177
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Singapore,-0.01123122963579358
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",South Korea,-0.10015978556755656
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",China,-0.4396850154134035
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Taiwan,-0.10636157532411772
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",India,-0.2369557986687958
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Malaysia,-0.10082003685966587
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Thailand,-0.0994881336203105
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Singapore,-0.11918025215260795
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Japan,-0.15568032588419328
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Indonesia,0.06857073198678827
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Maldives,-0.27046477678169817
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",South Korea,-0.24310941338293546
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Taiwan,-0.1660949679495871
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Maldives,-0.31442422248758695
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",India,-0.2926139414908253
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Japan,-0.19212030618754128
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",China,-0.4030745484330168
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Malaysia,-0.09411157243854198
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Singapore,-0.15631359593029448
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Thailand,-0.13141797009897765
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Indonesia,0.04368470153765068
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",South Korea,-0.31716163947297743
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Indonesia,-0.00674287592002118
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Singapore,-0.2932553163774533
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Malaysia,-0.21015717716186563
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Taiwan,-0.2087646057303596
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Maldives,-0.5100151747791666
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",China,-0.40728343445852166
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Thailand,-0.22102688546523497
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",South Korea,-0.28333608163740626
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",India,-0.31987953036604283
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Japan,-0.23571066466956167
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Malaysia,-0.1465270380585918
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Singapore,-0.38067814077475187
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Thailand,-0.1965699931569438
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Maldives,-0.3447917764172927
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Taiwan,-0.23510895743686855
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Japan,-0.3770609973559755
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",China,-0.4323232765042144
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Indonesia,0.05063006576870824
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",South Korea,-0.4343199872604386
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",India,-0.3034755049304013
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",China,-0.43703875340448345
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",South Korea,-0.6044746639472159
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Singapore,-0.4422406236591044
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Malaysia,-0.17928771632306192
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Taiwan,-0.2827380519305973
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Japan,-0.5567378768891695
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",India,-0.30527967629645414
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Thailand,-0.24736062566095013
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Indonesia,-0.07660998195344454
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Maldives,-0.4238682922776422
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Thailand,-0.25321579419841345
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Malaysia,-0.21772312392951942
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Japan,-0.5580981212603832
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Taiwan,-0.216540733511704
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",India,-0.36514966465961396
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Maldives,-0.47982839721881554
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Indonesia,-0.26366245380249675
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Singapore,-0.383372018982692
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",South Korea,-0.5249868448696347
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",China,-0.43167146825533176
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",China,-0.43702336777145306
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Thailand,-0.34285446897169913
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Japan,-0.5452566463217869
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",South Korea,-0.4762898767161199
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Malaysia,-0.18882136408402714
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",India,-0.5185402430713068
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Indonesia,-0.36786314440514556
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Maldives,-0.34748473486598913
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Singapore,-0.18695720633361526
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Taiwan,-0.1611495343884527
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Singapore,-0.3400997418740567
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Thailand,-0.6079341404422338
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Indonesia,-0.5404358467362411
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Japan,-0.5513251810665788
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",South Korea,-0.42637193851971444
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Maldives,-0.9380664244101431
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",India,-0.6469311622683864
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Taiwan,-0.26592473943739436
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",Malaysia,-0.6422794758863636
"Mar 16, 2020 to Mar 22, 2020 (Week 12)",China,-0.39561373017221396
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Indonesia,-0.6121560278874152
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Taiwan,-0.28404414667078326
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Thailand,-0.7232808964528198
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",China,-0.42627513356359625
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Japan,-0.6515607847931824
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",South Korea,-0.5001184116186727
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Singapore,-0.4873260500446915
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Malaysia,-0.7164743615613134
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",India,-0.7572114404199517
"Mar 23, 2020 to Mar 29, 2020 (Week 13)",Maldives,-1.0618490731919532
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Thailand,-0.7311076795677093
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Malaysia,-0.7015553297513981
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",India,-0.7309916103305577
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Taiwan,-0.2742892281304481
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",China,-0.3856117257126865
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Maldives,-1.0066246093032063
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Singapore,-0.4754088569915508
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Japan,-0.744693244462299
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",Indonesia,-0.570557326048066
"Mar 30, 2020 to Apr 5, 2020 (Week 14)",South Korea,-0.5193674210296202
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",China,-0.4380667634750907
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Indonesia,-0.5575933626525894
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Maldives,-0.5458316184084224
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",South Korea,-0.5211217986272422
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Thailand,-0.7440706213873666
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Japan,-0.7789113332726221
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Singapore,-0.7436649771343116
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Taiwan,-0.2800315195402704
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",Malaysia,-0.6954819455504174
"Apr 6, 2020 to Apr 12, 2020 (Week 15)",India,-0.6397775722748478
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Thailand,-0.7255646299213527
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Japan,-0.7802969802047419
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",South Korea,-0.5052685924230719
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",India,-0.6733418137610206
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Taiwan,-0.245130213498159
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Singapore,-0.7531663870151133
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Maldives,-0.860651484217231
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",China,-0.46239496826007725
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Malaysia,-0.6868483993850464
"Apr 13, 2020 to Apr 19, 2020 (Week 16)",Indonesia,-0.5371783041476145
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Thailand,-0.7203304871816235
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Malaysia,-0.6810305552254149
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Taiwan,-0.20630648147308583
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Maldives,-0.9268311409957716
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",China,-0.49219955570386326
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",India,-0.6554159673203231
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",South Korea,-0.3652268555715185
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Singapore,-0.7527009618121103
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Japan,-0.7774875222116503
"Apr 20, 2020 to Apr 26, 2020 (Week 17)",Indonesia,-0.5617831530950256
"Apr 27, 2020 to May 3, 2020 (Week 18)",Indonesia,-0.551100884456376
"Apr 27, 2020 to May 3, 2020 (Week 18)",Thailand,-0.7182126238520844
"Apr 27, 2020 to May 3, 2020 (Week 18)",Malaysia,-0.6834081194827764
"Apr 27, 2020 to May 3, 2020 (Week 18)",South Korea,-0.19904472842345
"Apr 27, 2020 to May 3, 2020 (Week 18)",Singapore,-0.7279653033922436
"Apr 27, 2020 to May 3, 2020 (Week 18)",Taiwan,-0.20941995430306637
"Apr 27, 2020 to May 3, 2020 (Week 18)",India,-0.6669201142216995
"Apr 27, 2020 to May 3, 2020 (Week 18)",China,-0.455985213574648
"Apr 27, 2020 to May 3, 2020 (Week 18)",Maldives,-0.9275722281875068
"Apr 27, 2020 to May 3, 2020 (Week 18)",Japan,-0.7670610624581216
"May 4, 2020 to May 10, 2020 (Week 19)",Thailand,-0.7332336717265556
"May 4, 2020 to May 10, 2020 (Week 19)",Maldives,-0.9495688845489157
"May 4, 2020 to May 10, 2020 (Week 19)",Malaysia,-0.6721302240690712
"May 4, 2020 to May 10, 2020 (Week 19)",India,-0.7079127042657698
"May 4, 2020 to May 10, 2020 (Week 19)",South Korea,-0.39909570716354514
"May 4, 2020 to May 10, 2020 (Week 19)",Taiwan,-0.2276560317650307
"May 4, 2020 to May 10, 2020 (Week 19)",China,-0.4299365066532825
"May 4, 2020 to May 10, 2020 (Week 19)",Singapore,-0.7439876345761199
"May 4, 2020 to May 10, 2020 (Week 19)",Japan,-0.7729511495708059
"May 4, 2020 to May 10, 2020 (Week 19)",Indonesia,-0.5678737027099274
"May 11, 2020 to May 17, 2020 (Week 20)",Japan,-0.7558430871676401
"May 11, 2020 to May 17, 2020 (Week 20)",Thailand,-0.7563576546231693
"May 11, 2020 to May 17, 2020 (Week 20)",Taiwan,-0.21365537426346248
"May 11, 2020 to May 17, 2020 (Week 20)",Malaysia,-0.6900710029777645
"May 11, 2020 to May 17, 2020 (Week 20)",South Korea,-0.4683988138000713
"May 11, 2020 to May 17, 2020 (Week 20)",Maldives,-1.0210862938098662
"May 11, 2020 to May 17, 2020 (Week 20)",India,-0.7805517429949701
"May 11, 2020 to May 17, 2020 (Week 20)",Singapore,-0.7922889983689277
"May 11, 2020 to May 17, 2020 (Week 20)",Indonesia,-0.6073236305850559
"May 11, 2020 to May 17, 2020 (Week 20)",China,-0.358842572284845
"May 18, 2020 to May 24, 2020 (Week 21)",Indonesia,-0.5963710779128195
"May 18, 2020 to May 24, 2020 (Week 21)",Thailand,-0.7190758728094441
"May 18, 2020 to May 24, 2020 (Week 21)",China,-0.28939616731773954
"May 18, 2020 to May 24, 2020 (Week 21)",Malaysia,-0.6656912346132695
"May 18, 2020 to May 24, 2020 (Week 21)",South Korea,-0.6327678190861866
"May 18, 2020 to May 24, 2020 (Week 21)",Taiwan,-0.18177392036434759
"May 18, 2020 to May 24, 2020 (Week 21)",Maldives,-1.072784909602175
"May 18, 2020 to May 24, 2020 (Week 21)",India,-0.7850995856023306
"May 18, 2020 to May 24, 2020 (Week 21)",Singapore,-0.7847492901096831
"May 18, 2020 to May 24, 2020 (Week 21)",Japan,-0.7646602361232014
"May 25, 2020 to May 31, 2020 (Week 22)",China,-0.2591696507951979
"May 25, 2020 to May 31, 2020 (Week 22)",Thailand,-0.7030572613043649
"May 25, 2020 to May 31, 2020 (Week 22)",Malaysia,-0.6539644990560473
"May 25, 2020 to May 31, 2020 (Week 22)",India,-0.7813572662942295
"May 25, 2020 to May 31, 2020 (Week 22)",Maldives,-1.1027535105991608
"May 25, 2020 to May 31, 2020 (Week 22)",South Korea,-0.3630377277948674
"May 25, 2020 to May 31, 2020 (Week 22)",Taiwan,-0.16059793435702752
"May 25, 2020 to May 31, 2020 (Week 22)",Singapore,-0.7858928635052634
"May 25, 2020 to May 31, 2020 (Week 22)",Indonesia,-0.5584122605256039
"May 25, 2020 to May 31, 2020 (Week 22)",Japan,-0.6100260578513975
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Thailand,-0.6325311712016124
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Japan,-0.5850645219662811
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Malaysia,-0.5680660477629289
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",China,-0.14271027878868764
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",South Korea,-0.379730288889796
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",India,-0.6700855135275943
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Singapore,-0.7859851099470848
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Taiwan,-0.139595919940938
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Maldives,-1.0863206750434695
"Jun 1, 2020 to Jun 7, 2020 (Week 23)",Indonesia,-0.6064320736972726
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Indonesia,-0.6062743854995143
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Japan,-0.50030132003323
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",China,-0.02853279717303492
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",South Korea,-0.32916957940527786
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Thailand,-0.5727147955384677
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Malaysia,-0.226244941979626
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",India,-0.6401367974561349
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Taiwan,-0.15804763498966812
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Maldives,-1.109876870256754
"Jun 8, 2020 to Jun 14, 2020 (Week 24)",Singapore,-0.7657191286768874
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Thailand,-0.634736476543792
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Japan,-0.367075461999394
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Maldives,-1.13627081913872
"Jun 15, 2020 to Jun 21, 2020 (Week 25)",Malaysia,-0.3977194714534956
