Year Week,destination_country,Index YOY Change
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",United Kingdom,0.0021263293657453053
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Germany,-0.0008641855801096721
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",France,-0.0020472832484327297
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Spain,0.007232924356717518
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Belgium,-0.004557093510448501
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Poland,0.006219980909426631
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Portugal,-0.0010522138140509063
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Netherlands,0.005553734267619126
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Russia,0.02999943223927226
"Jan 6, 2020 to Jan 12, 2020 (Week 2)",Italy,0.0002529769417412772
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Italy,-0.005408703566320804
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Spain,-0.044994043741133166
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",United Kingdom,-0.016780254084252155
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Russia,0.1103786800988451
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Poland,0.026050993931403865
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Netherlands,-0.011314979250719948
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",France,0.29752954153247546
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Belgium,0.08206035981857393
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Portugal,0.18125882220088652
"Jan 13, 2020 to Jan 19, 2020 (Week 3)",Germany,-0.00935740371058709
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Poland,0.00411900297107216
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Germany,-0.010320646945869497
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",France,0.31819684276909643
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",United Kingdom,-0.030789199272706513
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Portugal,0.20497095967691828
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Netherlands,0.010647974866980603
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Spain,0.010878597948629193
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Italy,0.06832647865797302
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Belgium,0.10658709936525339
"Jan 20, 2020 to Jan 26, 2020 (Week 4)",Russia,0.40139731948917223
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",United Kingdom,-0.045464000098187074
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Netherlands,-0.043058043962068304
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Portugal,0.1710320061992971
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Germany,-0.0018214051206634219
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",France,0.31287118409285
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Spain,-0.09064493424429647
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Poland,0.0366095821488961
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Russia,0.4134229265955427
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Italy,0.03356406768506817
"Jan 27, 2020 to Feb 2, 2020 (Week 5)",Belgium,0.14034615457811248
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Portugal,0.19178399159016069
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Netherlands,-0.05917941448445052
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Italy,-0.002317574601268975
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",United Kingdom,-0.021384477956223058
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Russia,0.5010162117718209
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Belgium,0.07668967841630063
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Poland,-0.002844989012086574
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",France,0.29611759743052535
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Spain,-0.12523243223619324
"Feb 3, 2020 to Feb 9, 2020 (Week 6)",Germany,-0.037042258496458244
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Portugal,0.21024039646286943
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Russia,0.7066956012851859
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Italy,-0.03206197007128564
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Germany,-0.04382672274767076
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",France,0.31172047512320367
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Belgium,0.09266145891901036
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Poland,-0.038860103986917194
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Spain,-0.10474254061641396
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",United Kingdom,-0.029283627033761805
"Feb 10, 2020 to Feb 16, 2020 (Week 7)",Netherlands,-0.04548723625450349
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Spain,-0.10314666355673159
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Germany,-0.03387893345797517
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Belgium,0.060199251878641016
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Portugal,0.23334726333053074
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",France,0.29076339009606106
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Russia,1.4836877001531934
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Italy,-0.03257218386045362
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Poland,-0.00274729764061998
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",United Kingdom,0.00019913924027370467
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Netherlands,-0.05117297682179903
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",France,0.1325840976264059
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Spain,-0.22760886498094665
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Italy,-0.39481553494196914
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Portugal,0.11940621110881428
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Germany,-0.1308969399472819
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Russia,2.73017275323058
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Poland,-0.10960828143122424
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Belgium,-0.07128014291177964
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Netherlands,-0.16914668568575422
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",United Kingdom,-0.03434151060931118
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Germany,-0.24806463600668754
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Portugal,0.05541356025093272
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Russia,3.2709748703733452
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Poland,-0.1921165166661087
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",France,-0.029491080138642434
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",United Kingdom,-0.13381034007362996
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Netherlands,-0.2636064431839156
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Belgium,-0.15448755737575173
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Italy,-0.5439309524720046
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Spain,-0.2853359665560782
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Spain,-0.6384667519540558
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Netherlands,-0.43246382738553346
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Portugal,-0.2259070449144635
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Italy,-0.6571391846914804
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Russia,3.5460788625026978
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",France,-0.26135192538397034
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Germany,-0.4163235070911023
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",United Kingdom,-0.2811822847641831
"Mar 9, 2020 to Mar 15, 2020 (Week 11)",Belgium,-0.3740533695310986
