date,destination_country,change_index
1/6/20,United Kingdom,0.0021263293657453100
1/6/20,Germany,-0.0008641855801096720
1/6/20,France,-0.0020472832484327300
1/6/20,Spain,0.007232924356717520
1/6/20,Belgium,-0.004557093510448500
1/6/20,Poland,0.006219980909426630
1/6/20,Portugal,-0.0010522138140509100
1/6/20,Netherlands,0.005553734267619130
1/6/20,Russia,0.02999943223927230
1/6/20,Italy,0.0002529769417412770
1/13/20,Italy,-0.005408703566320800
1/13/20,Spain,-0.044994043741133200
1/13/20,United Kingdom,-0.016780254084252200
1/13/20,Russia,0.1103786800988450
1/13/20,Poland,0.026050993931403900
1/13/20,Netherlands,-0.011314979250719900
1/13/20,France,0.29752954153247500
1/13/20,Belgium,0.08206035981857390
1/13/20,Portugal,0.18125882220088700
1/13/20,Germany,-0.00935740371058709
1/20/20,Poland,0.00411900297107216
1/20/20,Germany,-0.010320646945869500
1/20/20,France,0.31819684276909600
1/20/20,United Kingdom,-0.030789199272706500
1/20/20,Portugal,0.20497095967691800
1/20/20,Netherlands,0.010647974866980600
1/20/20,Spain,0.010878597948629200
1/20/20,Italy,0.06832647865797300
1/20/20,Belgium,0.10658709936525300
1/20/20,Russia,0.40139731948917200
1/27/20,United Kingdom,-0.045464000098187100
1/27/20,Netherlands,-0.043058043962068300
1/27/20,Portugal,0.1710320061992970
1/27/20,Germany,-0.0018214051206634200
1/27/20,France,0.31287118409285
1/27/20,Spain,-0.09064493424429650
1/27/20,Poland,0.0366095821488961
1/27/20,Russia,0.4134229265955430
1/27/20,Italy,0.03356406768506820
1/27/20,Belgium,0.14034615457811200
2/3/20,Portugal,0.19178399159016100
2/3/20,Netherlands,-0.05917941448445050
2/3/20,Italy,-0.002317574601268980
2/3/20,United Kingdom,-0.021384477956223100
2/3/20,Russia,0.5010162117718210
2/3/20,Belgium,0.07668967841630060
2/3/20,Poland,-0.002844989012086570
2/3/20,France,0.29611759743052500
2/3/20,Spain,-0.12523243223619300
2/3/20,Germany,-0.037042258496458200
2/10/20,Portugal,0.21024039646286900
2/10/20,Russia,0.7066956012851860
2/10/20,Italy,-0.03206197007128560
2/10/20,Germany,-0.04382672274767080
2/10/20,France,0.31172047512320400
2/10/20,Belgium,0.09266145891901040
2/10/20,Poland,-0.038860103986917200
2/10/20,Spain,-0.10474254061641400
2/10/20,United Kingdom,-0.029283627033761800
2/10/20,Netherlands,-0.04548723625450350
2/17/20,Spain,-0.10314666355673200
2/17/20,Germany,-0.03387893345797520
2/17/20,Belgium,0.060199251878641000
2/17/20,Portugal,0.23334726333053100
2/17/20,France,0.29076339009606100
2/17/20,Russia,1.4836877001531900
2/17/20,Italy,-0.03257218386045360
2/17/20,Poland,-0.00274729764061998
2/17/20,United Kingdom,0.00019913924027370500
2/17/20,Netherlands,-0.05117297682179900
2/24/20,France,0.1325840976264060
2/24/20,Spain,-0.22760886498094700
2/24/20,Italy,-0.39481553494196900
2/24/20,Portugal,0.11940621110881400
2/24/20,Germany,-0.1308969399472820
2/24/20,Russia,2.73017275323058
2/24/20,Poland,-0.10960828143122400
2/24/20,Belgium,-0.07128014291177960
2/24/20,Netherlands,-0.16914668568575400
2/24/20,United Kingdom,-0.03434151060931120
3/2/20,Germany,-0.24806463600668800
3/2/20,Portugal,0.05541356025093270
3/2/20,Russia,3.2709748703733500
3/2/20,Poland,-0.1921165166661090
3/2/20,France,-0.029491080138642400
3/2/20,United Kingdom,-0.13381034007363000
3/2/20,Netherlands,-0.2636064431839160
3/2/20,Belgium,-0.15448755737575200
3/2/20,Italy,-0.5439309524720050
3/2/20,Spain,-0.2853359665560780
3/9/20,Spain,-0.6384667519540560
3/9/20,Netherlands,-0.43246382738553300
3/9/20,Portugal,-0.2259070449144640
3/9/20,Italy,-0.6571391846914800
3/9/20,Russia,3.5460788625027000
3/9/20,France,-0.26135192538397000
3/9/20,Germany,-0.4163235070911020
3/9/20,United Kingdom,-0.2811822847641830
3/9/20,Belgium,-0.3740533695310990
3/9/20,Poland,-0.5004960088286980
3/16/20,Portugal,-0.5383982983930310
3/16/20,Poland,-0.7520639427240920
3/16/20,France,-0.6736895465347920
3/16/20,Italy,-0.7904542197190940
3/16/20,Russia,1.1633930379269600
3/16/20,United Kingdom,-0.5702982397742260
3/16/20,Spain,-0.9127126309702770
3/16/20,Belgium,-0.6668655232651100
3/16/20,Germany,-0.6769965107835580
3/16/20,Netherlands,-0.6755011624960940
3/23/20,Netherlands,-0.7203872095885150
3/23/20,Poland,-0.8095070982068860
3/23/20,Germany,-0.7319273524458330
3/23/20,Belgium,-0.7361538454611460
3/23/20,Spain,-0.9741262225430010
3/23/20,Portugal,-0.5966320694651080
3/23/20,Italy,-0.8219384150964450
3/23/20,United Kingdom,-0.6170649292633390
3/23/20,France,-0.734728756974717
3/23/20,Russia,-2.0515773839303300
3/30/20,France,-0.7054145780528020
3/30/20,Germany,-0.7102689785538170
3/30/20,Portugal,-0.5837997447458970
3/30/20,Spain,-0.9807490713215680
